SMILES,bp
C,-161.5
CC,-88.5
CCC,-42
CCCC,-1
CCCCC,36
CCCCCC,69
CCCCCCC,98.38
CCCCCCCC,125.6
CCCCCCCCC,150.4
CCCCCCCCCC,174
CCCCCCCCCCC,195
CCCCCCCCCCCC,214
CCCCCCCCCCCCC,234
CCCCCCCCCCCCCC,253
CCCCCCCCCCCCCCC,270
CCCCCCCCCCCCCCCC,287
CCCCCCCCCCCCCCCCC,303
CCCCCCCCCCCCCCCCCC,317
CCCCCCCCCCCCCCCCCCC,330
CCCCCCCCCCCCCCCCCCCC,343
O,100
CO,64.7
CCO,78.23
CCCO,97.5
CCCCO,117.7
CCCCCO,138
CCCCCCO,157
CCCCCCCO,175.8
OCCO,197.3
OCCCO,213
CC(O)CO,188.2
OCC(O)CO,290
c1ccccc1,80.1
Cc1ccccc1,110.6
C1CCCCC1,80.75
C=Cc1ccccc1,145
c1ccc2ccccc2c1,217.97
CCc1ccccc1,136
Nc1ccccc1,184.1
Cc1ccc(C)cc1,138.35
CC(=O)C,56.05
C=O,-19
CC=O,20.2
O=CO,100.8
O=C(O)C=C,141
OC(=O)CC(O)(C(=O)O)CC(=O)O,310
CC(O)=O,118.5
O=C(O)c1ccccc1,250
c1ccc(c(c1)C(=O)O)O,200
CCCCCCCCCCCCCCCC(=O)O,351.5
